k,m
155700,0.9
155800,0.98
155900,0.96
156000,1.0
156100,0.94
156200,0.96
156300,0.9
156400,0.96
156500,0.98
156600,0.88
156700,0.96
156800,0.98
156900,1.0
157000,1.0
157100,0.98
157200,0.96
157300,1.0
157400,1.0
157500,0.96
157600,1.0
157700,1.0
157800,0.98
157900,1.0
158000,0.92
158100,0.96
158200,0.98
158300,1.0
158400,0.94
158500,1.0
158600,1.0
158700,1.0
158800,0.98
158900,0.98
159000,0.98
159100,1.0
159200,0.98
159300,0.98
159400,0.96
159500,0.98
159600,0.98
159700,0.96
159800,1.0
159900,0.96
160000,0.98
160100,0.92
160200,0.98
160300,0.9
160400,0.88
160500,0.96
160600,0.88
160700,1.0
160800,0.98
160900,1.0
161000,0.94
161100,0.96
161200,1.0
161300,0.98
161400,0.98
161500,0.98
161600,0.98
161700,1.0
161800,0.94
161900,1.0
162000,0.96
162100,1.0
162200,0.94
162300,0.98
162400,0.92
162500,0.98
162600,1.0
162700,1.0
162800,0.96
162900,1.0
163000,1.0
163100,1.0
163200,1.0
163300,0.98
163400,0.88
163500,0.96
163600,0.98
163700,0.9
163800,0.96
163900,0.98
164000,0.98
164100,0.96
164200,0.98
164300,0.96
164400,1.0
164500,1.0
164600,0.96
164700,0.94
164800,0.98
164900,0.96
165000,0.98
165100,0.96
165200,1.0
165300,0.94
165400,1.0
165500,0.98
165600,1.0
165700,0.96
165800,0.96
165900,1.0
166000,0.98
166100,0.96
166200,0.92
166300,0.88
166400,0.96
166500,0.96
166600,0.96
166700,0.88
166800,0.92
166900,0.98
167000,0.96
167100,0.82
167200,0.98
167300,0.94
167400,0.94
167500,1.0
167600,0.98
167700,0.92
167800,0.98
167900,1.0
168000,0.94
168100,1.0
168200,0.92
168300,1.0
168400,0.94
168500,0.98
168600,1.0
168700,1.0
168800,1.0
168900,0.96
169000,0.96
169100,1.0
169200,0.86
169300,0.98
169400,0.94
169500,0.94
169600,0.96
169700,1.0
169800,1.0
169900,0.92
170000,0.96
170100,0.98
170200,0.98
170300,0.94
170400,1.0
170500,0.98
170600,0.96
170700,1.0
170800,1.0
170900,0.98
171000,1.0
171100,1.0
171200,0.98
171300,0.9
171400,1.0
171500,1.0
171600,1.0
171700,1.0
171800,1.0
171900,0.92
172000,1.0
172100,1.0
172200,0.9
172300,1.0
172400,1.0
172500,1.0
172600,0.98
172700,0.62
172800,1.0
172900,0.96
173000,0.98
173100,0.98
173200,0.98
173300,1.0
173400,0.98
173500,0.94
173600,0.96
173700,0.88
173800,0.98
173900,0.94
174000,1.0
174100,1.0
174200,1.0
174300,0.92
174400,0.96
174500,0.94
174600,1.0
174700,0.94
174800,0.98
174900,1.0
175000,0.96
175100,0.98
175200,1.0
175300,0.98
175400,0.98
175500,1.0
175600,0.98
175700,0.9
175800,0.96
175900,0.94
176000,0.98
176100,1.0
176200,0.94
176300,0.98
176400,0.94
176500,0.92
176600,0.96
176700,1.0
176800,1.0
176900,1.0
177000,0.94
177100,0.94
177200,1.0
177300,0.94
177400,0.96
177500,0.98
177600,1.0
177700,0.98
177800,0.98
177900,0.94
178000,1.0
178100,1.0
178200,0.94
178300,0.94
178400,0.96
178500,0.96
178600,0.9
178700,0.96
178800,0.96
178900,1.0
179000,0.98
179100,0.9
179200,0.88
179300,1.0
179400,0.94
179500,1.0
179600,0.94
179700,1.0
179800,0.9
179900,0.98
180000,0.98
180100,0.98
180200,0.96
180300,0.92
180400,1.0
180500,1.0
180600,0.94
180700,0.94
180800,1.0
180900,0.98
181000,1.0
181100,0.98
181200,0.98
181300,0.98
181400,0.96
181500,1.0
181600,1.0
181700,1.0
181800,0.98
181900,1.0
182000,0.84
182100,0.96
182200,1.0
182300,1.0
182400,0.92
182500,0.98
182600,1.0
182700,0.88
182800,0.98
182900,0.94
183000,0.98
183100,1.0
183200,1.0
183300,0.96
183400,1.0
183500,0.96
183600,0.98
183700,0.98
183800,0.96
183900,0.98
184000,1.0
184100,0.98
184200,0.98
184300,0.96
184400,1.0
184500,0.86
184600,1.0
184700,0.98
184800,0.98
184900,0.98
185000,0.96
185100,1.0
185200,0.98
185300,1.0
185400,0.94
185500,0.98
185600,0.98
185700,1.0
185800,0.96
185900,0.98
186000,1.0
186100,1.0
186200,0.98
186300,0.96
186400,0.96
186500,0.98
186600,0.96
186700,0.96
186800,1.0
186900,0.96
187000,1.0
187100,1.0
187200,1.0
187300,0.94
187400,1.0
187500,0.98
187600,1.0
187700,1.0
187800,1.0
187900,0.94
188000,0.98
188100,0.96
188200,1.0
188300,1.0
188400,0.98
188500,0.96
188600,0.98
188700,0.92
188800,0.98
188900,0.96
189000,0.9
189100,0.98
189200,1.0
189300,1.0
189400,0.92
189500,0.98
189600,1.0
189700,0.92
189800,0.9
189900,1.0
190000,0.98
190100,0.92
190200,0.96
190300,0.84
190400,0.82
190500,0.98
190600,1.0
190700,0.98
190800,1.0
190900,0.98
191000,0.94
191100,1.0
191200,0.94
191300,1.0
191400,0.98
191500,0.96
191600,0.98
191700,0.96
191800,0.98
191900,0.98
192000,1.0
192100,0.96
192200,0.96
192300,0.98
192400,0.98
192500,0.98
192600,0.98
192700,0.98
192800,0.84
192900,0.96
193000,0.96
193100,0.98
193200,0.96
193300,0.96
193400,0.98
193500,1.0
193600,1.0
193700,0.98
193800,0.94
193900,0.98
194000,0.92
194100,1.0
194200,1.0
194300,1.0
194400,0.96
194500,0.98
194600,0.9
194700,1.0
194800,1.0
194900,0.94
195000,1.0
195100,0.96
195200,0.96
195300,0.98
195400,1.0
195500,0.9
195600,1.0
195700,1.0
195800,0.94
195900,1.0
196000,1.0
196100,0.98
196200,0.92
196300,0.98
196400,0.98
196500,0.96
196600,0.98
196700,0.96
196800,1.0
196900,0.98
197000,0.94
197100,1.0
197200,0.92
197300,1.0
197400,1.0
197500,0.98
197600,1.0
197700,0.96
197800,0.98
197900,0.9
198000,1.0
198100,0.98
198200,1.0
198300,1.0
198400,1.0
198500,1.0
198600,0.92
198700,1.0
198800,1.0
198900,0.94
199000,0.74
199100,0.98
199200,0.92
199300,1.0
199400,1.0
199500,0.98
199600,0.76
199700,0.96
