 T, m
   2.536800     ,  0.2295067    
   2.538600     ,  0.2243662    
   2.540400     ,  0.2284537    
   2.542200     ,  0.2270990    
   2.544000     ,  0.2208112    
   2.545800     ,  0.2253618    
   2.547600     ,  0.2212703    
   2.549400     ,  0.2233940    
   2.551200     ,  0.2201541    
   2.553000     ,  0.2194127    
   2.554800     ,  0.2186011    
   2.556600     ,  0.2153897    
   2.558400     ,  0.2156143    
   2.560200     ,  0.2172289    
   2.562000     ,  0.2115986    
   2.563800     ,  0.2083526    
   2.565600     ,  0.2155901    
   2.567400     ,  0.2120252    
   2.569200     ,  0.2135420    
   2.571000     ,  0.2075853    
   2.572800     ,  0.2070639    
   2.574600     ,  0.2043399    
   2.576400     ,  0.2043515    
   2.578200     ,  0.2026690    
   2.580000     ,  0.2043370    
   2.581800     ,  0.2007766    
   2.583600     ,  0.2006374    
   2.585400     ,  0.1984978    
   2.587200     ,  0.2010847    
   2.589000     ,  0.1976999    
   2.590800     ,  0.1992331    
   2.592600     ,  0.1969529    
   2.594400     ,  0.1952170    
   2.596200     ,  0.1969037    
   2.598000     ,  0.1939898    
   2.599800     ,  0.1925488    
   2.601600     ,  0.1912487    
   2.603400     ,  0.1928795    
   2.605200     ,  0.1930702    
   2.607000     ,  0.1910640    
   2.608800     ,  0.1910069    
   2.610600     ,  0.1901576    
   2.612400     ,  0.1865512    
   2.614200     ,  0.1891229    
   2.616000     ,  0.1852329    
   2.617800     ,  0.1852113    
   2.619600     ,  0.1868656    
   2.621400     ,  0.1866658    
   2.623200     ,  0.1859034    
   2.625000     ,  0.1818520    
   2.626800     ,  0.1833736    
   2.628600     ,  0.1831534    
   2.630400     ,  0.1826155    
   2.632200     ,  0.1752154    
   2.634000     ,  0.1795117    
   2.635800     ,  0.1797840    
   2.637600     ,  0.1778546    
   2.639400     ,  0.1726373    
   2.641200     ,  0.1779332    
   2.643000     ,  0.1762207    
   2.644800     ,  0.1796524    
   2.646600     ,  0.1710337    
   2.648400     ,  0.1758402    
   2.650200     ,  0.1776230    
   2.652000     ,  0.1719581    
   2.653800     ,  0.1734993    
   2.655600     ,  0.1718333    
   2.657400     ,  0.1712640    
   2.659200     ,  0.1682278    
   2.661000     ,  0.1672608    
   2.662800     ,  0.1705919    
   2.664600     ,  0.1699045    
   2.666400     ,  0.1693049    
   2.668200     ,  0.1714316    
   2.670000     ,  0.1698681    
   2.671800     ,  0.1688585    
   2.673600     ,  0.1660245    
   2.675400     ,  0.1644807    
   2.677200     ,  0.1681881    
   2.679000     ,  0.1639494    
   2.680800     ,  0.1657105    
   2.682600     ,  0.1655652    
   2.684400     ,  0.1639202    
   2.686200     ,  0.1609736    
   2.688000     ,  0.1628634    
   2.689800     ,  0.1613481    
   2.691600     ,  0.1617348    
   2.693400     ,  0.1613193    
   2.695200     ,  0.1569924    
   2.697000     ,  0.1585348    
   2.698800     ,  0.1564475    
   2.700600     ,  0.1566345    
   2.702400     ,  0.1578192    
   2.704200     ,  0.1573744    
   2.706000     ,  0.1588248    
   2.707800     ,  0.1570289    
   2.709600     ,  0.1561468    
   2.711400     ,  0.1596998    
   2.713200     ,  0.1555369    
   2.715000     ,  0.1535940    
   2.716800     ,  0.1550634    
   2.718600     ,  0.1557297    
   2.720400     ,  0.1549738    
   2.722200     ,  0.1531907    
   2.724000     ,  0.1523107    
   2.725800     ,  0.1505922    
   2.727600     ,  0.1529976    
   2.729400     ,  0.1529618    
   2.731200     ,  0.1508917    
   2.733000     ,  0.1501343    
   2.734800     ,  0.1495527    
   2.736600     ,  0.1491147    
   2.738400     ,  0.1469992    
   2.740200     ,  0.1478458    
   2.742000     ,  0.1465962    
   2.743800     ,  0.1456881    
   2.745600     ,  0.1469655    
   2.747400     ,  0.1482057    
   2.749200     ,  0.1477043    
   2.751000     ,  0.1468762    
   2.752800     ,  0.1434209    
   2.754600     ,  0.1438849    
   2.756400     ,  0.1458327    
   2.758200     ,  0.1441087    
   2.760000     ,  0.1420378    
   2.761800     ,  0.1432551    
   2.763600     ,  0.1423449    
   2.765400     ,  0.1435795    
   2.767200     ,  0.1417567    
   2.769000     ,  0.1412705    
   2.770800     ,  0.1402209    
   2.772600     ,  0.1426777    
   2.774400     ,  0.1406529    
   2.776200     ,  0.1411290    
   2.778000     ,  0.1404542    
   2.779800     ,  0.1393726    
   2.781600     ,  0.1399326    
   2.783400     ,  0.1400538    
   2.785200     ,  0.1399656    
   2.787000     ,  0.1379674    
   2.788800     ,  0.1352973    
   2.790600     ,  0.1387064    
   2.792400     ,  0.1363581    
   2.794200     ,  0.1366535    
   2.796000     ,  0.1416387    
   2.797800     ,  0.1342155    
   2.799600     ,  0.1370873    
   2.801400     ,  0.1352101    
   2.803200     ,  0.1352978    
   2.805000     ,  0.1336959    
   2.806800     ,  0.1347360    
   2.808600     ,  0.1370555    
   2.810400     ,  0.1338230    
   2.812200     ,  0.1330776    
   2.814000     ,  0.1336717    
   2.815800     ,  0.1322361    
   2.817600     ,  0.1314095    
   2.819400     ,  0.1325850    
   2.821200     ,  0.1335386    
   2.823000     ,  0.1307857    
   2.824800     ,  0.1304491    
